,,W_A_264,,Commodity Adjustment $/kWe,,BOPADJUSTC,0,,,,,,,,,,
,,W_A_265,,Escalation Adjustment $/kWe,,BOPESC,108,,,,,,,,,,
,,W_A_266,,Contingency $/kWe,,BOPCONT,80,,,,,,,,,,
,,W_A_267,,Subtotal $/kWe,,,930,,,,,,,,,,
,,W_A_268,,Metrics for Non BOP ,,,Ok,,,,,,,,,,
,,W_A_269,,WTG Mtl's & Shipping $/Kwe,,WTG,0,,,,,,,,,,
,,W_A_270,,Gen Tie-Line Mtl's & Labor $/Kwe,,Tline,0,,,,,,,,,,
,,W_A_271,,SwitchYard Mtl's & Labor $/Kwe,,Switch,0,,,,,,,,,,
,,W_A_272,,,,,0,,,,,,,,,,
,,W_A_273,,,,Check = (+/- 1),0.633866,,,,,,,,,,
,,W_A_274,,Other Metric's,,,,,,,,,,,,,
,,W_A_275,,BOP (Material & Labor) cost per WTG,,,2622600,,,,,,,,,,
,,W_A_276,,T-Line Labor & Mtl's costs per mile,,Tline,0,,,,,,,,,,
,,W_A_277,,"SwitchYard, Costs per Breaker",,Switch,0,,,,,,,,,,
,,W_A_278,,Substation & Transformer per LV Circuit ,,BOPSUB,7647000,,,,,,,,,,
,,W_A_279,,,,,,,,,,,,,,,
,,W_A_280,,,,,,,,,,,,,,,
,,W_A_281,,ARO,,,,,,,,,,,,,
,,W_A_282,DeComTotal,Demolition,,,14970578.167693,,,,,,,,,,
,,W_A_283,SalvTotal,Salvage,,,-5907297.218888,,,,,,,,,,
,,W_A_284,AROTotal,Net,,,10176591.105699,,,,,,,,,,
,,W_A_285,,,,,,,,,,,,,,,
,,W_A_286,,,,,,,,,,,,,,,
,,W_A_287,,,,,,,,,,,,,,,
,,W_A_288,,"Subject Cost Compare, Explain the ""Why the delta""",,,,,,,,,,,,,
,,W_A_289,,Array Impacts:,,,,,,,,,,,,,
,,W_A_290,,Spacing of WTG's,Arry,,,,,,,,,,,,
,,W_A_291,Roads,"Roads, lengths",Arry,Roads,11501661.639442,,,,,,,,,,
,,W_A_292,Collection,"Collection, lengths",Arry,Collection,18932372.704113,,,,,,,,,,
,,W_A_293,,Terrain Impacts:,,,,,,,,,,,,,
,,W_A_294,Pipe,Pipe Line Crossings,Terrain,Roads,0,,,,,,,,,,
,,W_A_295,Culverts,Road Culverts,Terrain,Roads,406595.547148,,,,,,,,,,
,,W_A_296,Wet,Wetlands / Creek,Terrain,Roads,331027.624734,,,,,,,,,,
,,W_A_297,Rail,Rail Road Crossings,Terrain,Roads,0,,,,,,,,,,
,,W_A_298,Bridge,Bridge Improvements,Offsite,Roads,0,,,,,,,,,,
,,W_A_299,,Gravel Pit Location,Terrain,Run Model for results,,,,,,,,,,,
,,W_A_300,,Road length and complexity,,,,,,,,,,,,,
,,W_A_301,Earth,Cut / Fill ,Terrain,Roads,3275739.943752,,,,,,,,,,
,,W_A_302,Blast,Rock Blasting,Terrain,Roads,0,,,,,,,,,,
,,W_A_303,EC,Erosion Control,Terrain,Roads,2667172.166664,,,,,,,,,,
,,W_A_304,Dust,Dust Control,Terrain,Roads,1936820.368497,,,,,,,,,,
,,W_A_305,Water,Water,Terrain,Roads,0,,,,,,,,,,
