
,,W_ER_46,Calc,Module Delivery in Year 2 (%),0,0.81818181818181812,0.53846153846153844,0,0,0,0.81818181818181812,0.81818181818181812,0.81818181818181812,0.81818181818181812,,0,,,,Calculation,Early Stage,NA,,,,,,,,,,,
,,W_ER_47,Calc,Module Delivery in Year 3,2026,2027,2026,2026,2026,2026,2027,2027,2027,2027,,2025,,,,Calculation,Early Stage,NA,,,,,,,,,,,
,,W_ER_48,Calc,Module Delivery in Year 3 (%),1,0.18181818181818182,0.46153846153846156,1,1,1,0.18181818181818182,0.18181818181818182,0.18181818181818182,0.18181818181818182,,1,,,,Calculation,Early Stage,NA,,,,,,,,,,,
,W_A_38,W_ER_49,Calc,Primary Module Manufacturer,BYD,BYD,BYD,BYD,BYD,BYD,BYD,BYD,BYD,BYD,,BYD,,,,OMNI system,Early Stage,B41,Primary Module Manufacturer,,,,,,,,,,
,,W_ER_320,Calc,Primary Module Series,NLBK36,NLBK36,NLBK36,NLBK36,NLBK36,MLTK,NLBK36,NLBK36,NLBK36,NLBK36,,NA,,,,,,,,,,,,,,,,,
,,W_ER_321,Calc,Primary Panel Type,MC,MC,MC,MC,MC,MC,MC,MC,MC,MC,,MC,,,,,,,,,,,,,,,,,
,,W_ER_322,Calc,Primary Panel Face,BF,BF,BF,BF,BF,BF,BF,BF,BF,BF,,BF,,,,,,,,,,,,,,,,,
,,W_ER_50,Calc,Primary Module Wp,585,585,565,585,585,565,585,585,585,585,,555,,,,OMNI system,Early Stage,B42,Primary Module (Wp),,,,,,,,,,
,W_A_760,W_ER_51,Calc,Primary Module Manufacturer & Size,BYD_NLBK36_MC_BF_585,BYD_NLBK36_MC_BF_585,BYD_NLBK36_MC_BF_565,BYD_NLBK36_MC_BF_585,BYD_NLBK36_MC_BF_585,BYD_MLTK_MC_BF_565,BYD_NLBK36_MC_BF_585,BYD_NLBK36_MC_BF_585,BYD_NLBK36_MC_BF_585,BYD_NLBK36_MC_BF_585,,BYD_NA_MC_BF_555,,LOCK,,Calculation,Early Stage,B43,,,,,,,,,,,
,W_A_778,W_ER_52,Calc,Primary Module Price ($/Wdc),0.3,0.296364,0.305385,0.3,0.3,0.32,0.296364,0.296364,0.296364,0.296364,,0.36,,LOCK,,Calculation,Early Stage,B40,Estimated Module Pricing ($/Wdc),,,,,,,,,,
,,W_ER_323,Calc,Primary Module Percentage,1,1,1,1,1,1,1,1,1,1,,1,,,,,,,,,,,,,,,,,
,W_A_761,W_ER_356,Calc,Primary Module MWdc,240.8,92.88,92.88,240.8,92.88,92.88,92.88,92.88,92.88,92.88,,120.4,,,,,,,,,,,,,,,,,







,,W_ER_331,Req,Secondary Module Percentage,0,0,0,0,0,0,0,0,0,0,,0,,,,,,,,,,,,,,,,,
,W_A_763,W_ER_357,Calc,Secondary Module MWdc,0,0,0,0,0,0,0,0,0,0,,0,,,,,,,,,,,,,,,,,







,,W_ER_339,Req,Tertiary Module Percentage,0,0,0,0,0,0,0,0,0,0,,0,,,,,,,,,,,,,,,,,
,W_A_765,W_ER_358,Calc,Tertiary Module MWdc,0,0,0,0,0,0,0,0,0,0,,0,,,,,,,,,,,,,,,,,
,,W_ER_340,Calc,Module Percentage Check,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,,OK,,,,,,,,,,,,,,,,,
,,W_ER_341,Calc,Primary Blended Manufacturer,BYD,BYD,BYD,BYD,BYD,BYD,BYD,BYD,BYD,BYD,,BYD,,,,,,,,,,,,,,,,,
,W_A_39,W_ER_342,Calc,Primary Blended Module Wp,585,585,565,585,585,565,585,585,585,585,,555,,,,,,,,,,,,,,,,,
,,W_ER_343,Calc,Primary Blended Module Manufacturer & Size,BYD_NLBK36_MC_BF_585,BYD_NLBK36_MC_BF_585,BYD_NLBK36_MC_BF_565,BYD_NLBK36_MC_BF_585,BYD_NLBK36_MC_BF_585,BYD_MLTK_MC_BF_565,BYD_NLBK36_MC_BF_585,BYD_NLBK36_MC_BF_585,BYD_NLBK36_MC_BF_585,BYD_NLBK36_MC_BF_585,,BYD_NA_MC_BF_555,,,,,,,,,,,,,,,,,
,W_A_37,W_ER_344,Calc,Primary Blended Module Price ($/Wdc),0.3,0.296364,0.305385,0.3,0.3,0.32,0.296364,0.296364,0.296364,0.296364,,0.36,,,,,,,,,,,,,,,,,
