
,,,B_A_7,ASSUMP_UID_COLUMNS,,,,,,B_M_1,,,,,,,,,,,,,,Project Name:,,Red Pricing Project Name,,,,,,,BESSPower OMNI,,,,,,,BESSPower,,,,,,,Vulcan Solar,,,,,,,Vulcan Solar,,,,,,,Vulcan Solar,,,,,,,Vulcan Solar,,,,,,
,502-01-00~~502-01-01.4002,502-01-01.4002,,,,,,,,B_M_50,Tline,1,1,,1.42,,T-Line: Review of Transmission & Tech Support,,,,EPC,C,,,,,Lt.,,,,0,,,Lt.,,,,0,,,Lt.,,,,0,,,Lt.,,,,0,,,Lt.,,,,0,,,Lt.,,,,0,,,Lt.,,,,0,
,502-01-00~~502-01-01.4003,502-01-01.4003,,,,,,,,B_M_51,Tline,1,1,,1.43,,T-Line: Route Survey AKA: Plan & Profile,,,,EPC,C,,,,,Mi.,,,,0,,,Mi.,,,,0,,,Mi.,,,,0,,,Mi.,,,,0,,,Mi.,,,,0,,,Mi.,,,,0,,,Mi.,,,,0,
,502-01-00~~502-01-01.4004,502-01-01.4004,,,,,,,,B_M_52,Tline,1,1,,1.44,,T-Line: Route Geotech. Info,,1,of Struc. Fnd. Loc's,,C,,,,,Ea.,,,,0,,,Ea.,,,,0,,,Ea.,,,,0,,,Ea.,,,,0,,,Ea.,,,,0,,,Ea.,,,,0,,,Ea.,,,,0,
,,,,,,,,,,B_M_53,Eng,1,1,,1.5,,OTHER ENGR.:,,,,,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,502-01-00~~502-01-01.5002,502-01-01.5002,,,,,,,,B_M_54,Eng,1,1,L,1.52,,"Miscellaneous, Incidentals & Consumables",,,,,C,,,,0,Lt.,,55000,,0,,0,Lt.,,55000,,0,,0,Lt.,,50000,,0,,0,Lt.,,50000,,0,,0,Lt.,,50000,,0,,0,Lt.,,50000,,0,,0,Lt.,,50000,,0,
,502-01-00~~502-01-01.5004,502-01-01.5004,,,,,,,,B_M_55,Eng,1,1,,1.53,,CBO,,,,EPC,C,,,,1,Lt.,CA Only,100000,,100000,,1,Lt.,CA Only,100000,,100000,,0,Lt.,CA Only,100000,,0,,0,Lt.,CA Only,100000,,0,,0,Lt.,CA Only,100000,,0,,0,Lt.,CA Only,100000,,0,,0,Lt.,CA Only,100000,,0,
,502-02-00~~502-02-01.6003,502-02-01.6003,,,,,,,,B_M_56,Eng,1.1,1,TeL,1.54,,Integrator Fee,,,,NEER,C,,,,1,Lt.,,50000,,50000,,1,Lt.,,50000,,50000,,1,Lt.,,50000,,50000,,1,Lt.,,50000,,50000,,1,Lt.,,50000,,50000,,1,Lt.,,50000,,50000,,1,Lt.,,50000,,50000,
,502-02-00~~502-02-01.6004,502-02-01.6004,,,,,,,,B_M_57,Eng,1.1,1,TeL,1.55,,Technology Fee,,,,NEER,C,,,,1,Lt.,,50000,,50000,,1,Lt.,,50000,,50000,,1,Lt.,,50000,,50000,,1,Lt.,,50000,,50000,,1,Lt.,,50000,,50000,,1,Lt.,,50000,,50000,,1,Lt.,,50000,,50000,
,-,-,,,,,,,,B_M_58,,,-,,-,,-,-,-,-,-,,,,,,-,,-,,-,,,-,,-,,-,,,-,,-,,-,,,-,,-,,-,,,-,,-,,-,,,-,,-,,-,,,-,,-,,-,
,,,,,,,,,,B_M_59,,,,,,,,,,,,,,,,,,,,,1085529.316368,,,,,,,1085529.316368,,,,,,,657509.298736,,,,,,,2223266.704459,,,,,,,1058750.754665,,,,,,,1732079.225822,,,,,,,2221900.703005,
